filename,bytes,sha256
ml-kem-1024-2.16.840.1.101.3.4.4.3_ee.der,6542,d9c84c66b7ab668e13748989ee99e807513603c38cd2e064428f763b1c157e67
ml-kem-1024-2.16.840.1.101.3.4.4.3_ss.bin,32,e3dec4fddb48c8d22354756be5ada6c64781fabb8464f4cad9e07877d7c12bbd
ml-kem-512-2.16.840.1.101.3.4.4.1_ciphertext.bin,768,68571fed73cf1d4f06b8a59f3eb9103675e9881413fe9a03f480ca1e1831852f
ml-kem-512-2.16.840.1.101.3.4.4.1_ee.der,3566,6f56aafa0d7afa509245902a51919cb03dc50c243eefa6ad10f40a1d3e96ab1d
ml-kem-512-2.16.840.1.101.3.4.4.1_ss.bin,32,9278aacdcaab8f18f79a62e07703f6cbd65e450edeba252d3126e0e95d67aa47
ml-kem-768-2.16.840.1.101.3.4.4.2_ciphertext.bin,1088,4c4f73578c5b7b287eb6233240dd29bc888181119dce72cea9b5264d01f0713c
ml-kem-768-2.16.840.1.101.3.4.4.2_ee.der,4839,570ae862ce925ec4bcac7cb6361343096579bb59b1ecf6a2f3d608ff7940cffc
ml-kem-768-2.16.840.1.101.3.4.4.2_ss.bin,32,900fd32b39300d62fe61aaf20f48383a62cb8563855ede941710f1277ed01c71
slh-dsa-sha2-128f-2.16.840.1.101.3.4.3.21_ta.der,17357,db0b25d92795e8abdba42b5d72dfeb62e4d3e553374da9835ae6958e5119a8be
slh-dsa-sha2-128f-with-sha256-2.16.840.1.101.3.4.3.36_ta.der,17382,eabf6179439a381b68b355808e826ac92e236953a03d47ba07f3f2a1865c1b8d
slh-dsa-sha2-128s-2.16.840.1.101.3.4.3.20_ta.der,8125,b9bdbbe4e83f12e2a20e403777d79fa895457a064614d700bfe1738f0528563e
slh-dsa-sha2-128s-with-sha256-2.16.840.1.101.3.4.3.35_ta.der,8150,8d7373a5460fa2758c699300a00d33b32bd9bd29b92a89dd7acc7bb63df77d27
slh-dsa-sha2-192f-2.16.840.1.101.3.4.3.23_ta.der,35950,40e62ba4f172468cd9e0784126cd45b4a727128b359b07cc44f6559fc64bd91e
slh-dsa-sha2-192f-with-sha512-2.16.840.1.101.3.4.3.38_ta.der,35974,0dfe576b32eb151e23cd8cf5ec1dd470d0238d83847c133437b7e112f14f9904
slh-dsa-sha2-192s-2.16.840.1.101.3.4.3.22_ta.der,16510,9f62e69c4cadfcbdacdd4e1dde179e6ccd19ce765128e26eae343aede72def14
slh-dsa-sha2-192s-with-sha512-2.16.840.1.101.3.4.3.37_ta.der,16534,c73f6dc32b8f65cd0acf001e9adf54d641d96a2b60d30e5ed6cf09b7dcaf295b
slh-dsa-sha2-256f-2.16.840.1.101.3.4.3.25_ta.der,50158,acf799995225d522baf2bc3409d9226a82bbe844d92fec75ec0ee5e12f4e964f
slh-dsa-sha2-256f-with-sha512-2.16.840.1.101.3.4.3.40_ta.der,50182,371691e42d210c9cf83e3eecbd4775172a3c745d16517e321a63e9b5b9a7ac8b
slh-dsa-sha2-256s-2.16.840.1.101.3.4.3.24_ta.der,30094,f222e5a0415e260f5869ebdfe4e7860955d30ae262f0a3c8b8a4ecd583d4d9eb
slh-dsa-sha2-256s-with-sha512-2.16.840.1.101.3.4.3.39_ta.der,30118,a29d7b225d41bc749b3f182be912b4654797433278c8701f6e453aecb974c473
slh-dsa-shake-128f-2.16.840.1.101.3.4.3.27_ta.der,17359,a5214a5789b85b3e8275b2494785d45f15251d388425f1202b062a5b38d3f6ef
slh-dsa-shake-128f-with-shake128-2.16.840.1.101.3.4.3.42_ta.der,17388,9714d43e8072d030381679e8554c617c462f2e6df16a418a5b0a377d9d41b478
slh-dsa-shake-128s-2.16.840.1.101.3.4.3.26_ta.der,8127,33499f65bf725e8126536d8c479563c0868885a8149c09babc2964856008b3ba
slh-dsa-shake-128s-with-shake128-2.16.840.1.101.3.4.3.41_ta.der,8156,b45224cb50292aa4317385e78256a2148eae5e5c12d47ff360e1e6181e6f400d
slh-dsa-shake-192f-2.16.840.1.101.3.4.3.29_ta.der,35952,2f2cb38b9c8384060ae26313c72c4a7890e18a7ba1645d901cf56b31aeca13f0
slh-dsa-shake-192f-with-shake256-2.16.840.1.101.3.4.3.44_ta.der,35980,9786d6837303da99a4102c2022ab92c5a537f90ce18e3d7f5d1bcee2dce915be
slh-dsa-shake-192s-2.16.840.1.101.3.4.3.28_ta.der,16512,3a1c8d0b0516ee0c25838d52dae5935a68871129522630e47e559cf2962ee439
slh-dsa-shake-192s-with-shake256-2.16.840.1.101.3.4.3.43_ta.der,16540,dec3b671b03ee482be9ef09fbe2f378e6c7cb3d6e8c78566556225a81716c515
slh-dsa-shake-256f-2.16.840.1.101.3.4.3.31_ta.der,50160,140c44733791c8b319cd6b422e261bde32ff89ebbcfe07ec5570b1ae2735c7b8
slh-dsa-shake-256f-with-shake256-2.16.840.1.101.3.4.3.46_ta.der,50188,94966f467dd69cf24c89fd0212de99eff734c0c38d2c137b1030775d87adc1b1
slh-dsa-shake-256s-2.16.840.1.101.3.4.3.30_ta.der,30096,cb4fd1dcc42b90d96787e825fca94a2a1202e007126d0aa1dda3823a5c5803ef
slh-dsa-shake-256s-with-shake256-2.16.840.1.101.3.4.3.45_ta.der,30124,4307e28a411b64c3656ee5b4fc99461ae0888bf325f95ff8f1c5de5dfe1e5d31
