key_algorithm_oid,type,test_result
2.16.840.1.114027.80.8.1.47,seed,N
2.16.840.1.114027.80.8.1.47,expandedkey,N
2.16.840.1.114027.80.8.1.47,both,N
2.16.840.1.114027.80.8.1.47,consistent,Y
2.16.840.1.114027.80.8.1.34,cert,N
2.16.840.1.114027.80.8.1.34,seed,N
2.16.840.1.114027.80.8.1.34,expandedkey,N
2.16.840.1.114027.80.8.1.34,both,N
2.16.840.1.114027.80.8.1.34,consistent,Y
2.16.840.1.114027.80.8.1.31,cert,N
2.16.840.1.114027.80.8.1.31,seed,N
2.16.840.1.114027.80.8.1.31,expandedkey,N
2.16.840.1.114027.80.8.1.31,both,N
2.16.840.1.114027.80.8.1.31,consistent,Y
2.16.840.1.101.3.4.3.30,cert,Y
2.16.840.1.101.3.4.3.30,seed,Y
2.16.840.1.101.3.4.3.30,expandedkey,Y
2.16.840.1.101.3.4.3.30,both,Y
2.16.840.1.101.3.4.3.30,consistent,Y
2.16.840.1.101.3.4.3.33,cert,N
2.16.840.1.101.3.4.3.33,seed,N
2.16.840.1.101.3.4.3.33,expandedkey,N
2.16.840.1.101.3.4.3.33,both,N
2.16.840.1.101.3.4.3.33,consistent,Y
2.16.840.1.114027.80.8.1.53,cert,N
2.16.840.1.114027.80.8.1.53,seed,N
2.16.840.1.114027.80.8.1.53,expandedkey,N
2.16.840.1.114027.80.8.1.53,both,N
2.16.840.1.114027.80.8.1.53,consistent,Y
2.16.840.1.114027.80.8.1.32,cert,N
2.16.840.1.114027.80.8.1.32,seed,N
2.16.840.1.114027.80.8.1.32,expandedkey,N
2.16.840.1.114027.80.8.1.32,both,N
2.16.840.1.114027.80.8.1.32,consistent,Y
2.16.840.1.114027.80.8.1.49,cert,N
2.16.840.1.114027.80.8.1.49,seed,N
2.16.840.1.114027.80.8.1.49,expandedkey,N
2.16.840.1.114027.80.8.1.49,both,N
2.16.840.1.114027.80.8.1.49,consistent,Y
2.16.840.1.101.3.4.3.29,cert,Y
2.16.840.1.101.3.4.3.29,seed,Y
2.16.840.1.101.3.4.3.29,expandedkey,Y
2.16.840.1.101.3.4.3.29,both,Y
2.16.840.1.101.3.4.3.29,consistent,Y
2.16.840.1.101.3.4.3.32,cert,N
2.16.840.1.101.3.4.3.32,seed,N
2.16.840.1.101.3.4.3.32,expandedkey,N
2.16.840.1.101.3.4.3.32,both,N
2.16.840.1.101.3.4.3.32,consistent,Y
2.16.840.1.101.3.4.3.46,cert,N
2.16.840.1.101.3.4.3.46,seed,N
2.16.840.1.101.3.4.3.46,expandedkey,N
2.16.840.1.101.3.4.3.46,both,N
2.16.840.1.101.3.4.3.46,consistent,Y
2.16.840.1.114027.80.8.1.30,cert,N
2.16.840.1.114027.80.8.1.30,seed,N
2.16.840.1.114027.80.8.1.30,expandedkey,N
2.16.840.1.114027.80.8.1.30,both,N
