key_algorithm_oid,test_result
1.2.840.10045.2.1,Y
1.2.840.113549.1.1.1,Y
1.3.6.1.4.1.2.267.12.4.4,Y
1.3.6.1.4.1.2.267.12.6.5,Y
1.3.6.1.4.1.2.267.12.8.7,Y
1.3.6.1.4.1.2.267.7.4.4,Y
1.3.6.1.4.1.2.267.7.6.5,Y
1.3.6.1.4.1.2.267.7.8.7,Y
1.3.9999.2.7.2,
1.3.9999.2.7.4,
1.3.9999.3.1,
1.3.9999.3.4,
1.3.9999.6.7.13,
1.3.9999.6.7.4,
1.3.9999.6.8.10,
1.3.9999.6.8.3,
1.3.9999.6.9.10,
1.3.9999.6.9.3,
