key_algorithm_oid,ta,ca,ee,crl_ta,crl_ca
1.3.6.1.4.1.2.267.7.8.7,F,F,F,F,F
1.3.6.1.4.1.2.267.7.4.4,F,F,F,F,F
1.3.6.1.4.1.2.267.7.6.5,F,F,F,F,F
1.3.9999.3.1,F,F,F,F,F
1.3.9999.3.4,F,F,F,F,F
