key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.44,cert,Y
2.16.840.1.101.3.4.3.44,consistent,Y
2.16.840.1.101.3.4.3.44,expandedkey,Y
2.16.840.1.101.3.4.3.44,seed,Y
2.16.840.1.101.3.4.3.45,both,Y
2.16.840.1.101.3.4.3.45,cert,Y
2.16.840.1.101.3.4.3.45,consistent,Y
2.16.840.1.101.3.4.3.45,expandedkey,Y
2.16.840.1.101.3.4.3.45,seed,Y
2.16.840.1.101.3.4.3.46,both,Y
2.16.840.1.101.3.4.3.46,cert,Y
2.16.840.1.101.3.4.3.46,consistent,Y
2.16.840.1.101.3.4.3.46,expandedkey,Y
2.16.840.1.101.3.4.3.46,seed,Y
2.16.840.1.101.3.4.4.1,priv,N
2.16.840.1.101.3.4.4.2,priv,N
2.16.840.1.101.3.4.4.3,priv,N
2.16.840.1.114027.80.8.1.21,both,N
2.16.840.1.114027.80.8.1.21,cert,N
2.16.840.1.114027.80.8.1.21,expandedkey,N
2.16.840.1.114027.80.8.1.21,seed,N
2.16.840.1.114027.80.8.1.22,both,N
2.16.840.1.114027.80.8.1.22,cert,N
2.16.840.1.114027.80.8.1.22,expandedkey,N
2.16.840.1.114027.80.8.1.22,seed,N
2.16.840.1.114027.80.8.1.23,both,N
2.16.840.1.114027.80.8.1.23,cert,N
2.16.840.1.114027.80.8.1.23,expandedkey,N
2.16.840.1.114027.80.8.1.23,seed,N
2.16.840.1.114027.80.8.1.24,both,N
2.16.840.1.114027.80.8.1.24,cert,N
2.16.840.1.114027.80.8.1.24,expandedkey,N
2.16.840.1.114027.80.8.1.24,seed,N
2.16.840.1.114027.80.8.1.26,both,N
2.16.840.1.114027.80.8.1.26,cert,N
2.16.840.1.114027.80.8.1.26,expandedkey,N
2.16.840.1.114027.80.8.1.26,seed,N
2.16.840.1.114027.80.8.1.27,both,N
2.16.840.1.114027.80.8.1.27,cert,N
2.16.840.1.114027.80.8.1.27,expandedkey,N
2.16.840.1.114027.80.8.1.27,seed,N
2.16.840.1.114027.80.8.1.28,both,N
2.16.840.1.114027.80.8.1.28,cert,N
2.16.840.1.114027.80.8.1.28,expandedkey,N
2.16.840.1.114027.80.8.1.28,seed,N
2.16.840.1.114027.80.8.1.29,both,N
2.16.840.1.114027.80.8.1.29,cert,N
2.16.840.1.114027.80.8.1.29,expandedkey,N
2.16.840.1.114027.80.8.1.29,seed,N
2.16.840.1.114027.80.8.1.30,both,N
2.16.840.1.114027.80.8.1.30,cert,N
2.16.840.1.114027.80.8.1.30,expandedkey,N
2.16.840.1.114027.80.8.1.30,seed,N
2.16.840.1.114027.80.8.1.31,both,N
2.16.840.1.114027.80.8.1.31,cert,N
2.16.840.1.114027.80.8.1.31,expandedkey,N
2.16.840.1.114027.80.8.1.31,seed,N
2.16.840.1.114027.80.8.1.32,both,N
2.16.840.1.114027.80.8.1.32,cert,N
2.16.840.1.114027.80.8.1.32,expandedkey,N
2.16.840.1.114027.80.8.1.32,seed,N
2.16.840.1.114027.80.8.1.33,both,N
2.16.840.1.114027.80.8.1.33,cert,N
2.16.840.1.114027.80.8.1.33,expandedkey,N
2.16.840.1.114027.80.8.1.33,seed,N
2.16.840.1.114027.80.8.1.34,both,N
2.16.840.1.114027.80.8.1.34,cert,N
2.16.840.1.114027.80.8.1.34,expandedkey,N
2.16.840.1.114027.80.8.1.34,seed,N
2.16.840.1.114027.80.8.1.35,both,N
2.16.840.1.114027.80.8.1.35,cert,N
2.16.840.1.114027.80.8.1.35,expandedkey,N
2.16.840.1.114027.80.8.1.35,seed,N
2.16.840.1.114027.80.8.1.40,both,N
2.16.840.1.114027.80.8.1.40,cert,N
2.16.840.1.114027.80.8.1.40,expandedkey,N
2.16.840.1.114027.80.8.1.40,seed,N
2.16.840.1.114027.80.8.1.41,both,N
2.16.840.1.114027.80.8.1.41,cert,N
2.16.840.1.114027.80.8.1.41,expandedkey,N
2.16.840.1.114027.80.8.1.41,seed,N
2.16.840.1.114027.80.8.1.42,both,N
2.16.840.1.114027.80.8.1.42,cert,N
2.16.840.1.114027.80.8.1.42,expandedkey,N
2.16.840.1.114027.80.8.1.42,seed,N
2.16.840.1.114027.80.8.1.43,both,N
2.16.840.1.114027.80.8.1.43,cert,N
2.16.840.1.114027.80.8.1.43,expandedkey,N
2.16.840.1.114027.80.8.1.43,seed,N
2.16.840.1.114027.80.8.1.44,both,N
2.16.840.1.114027.80.8.1.44,cert,N
2.16.840.1.114027.80.8.1.44,expandedkey,N
2.16.840.1.114027.80.8.1.44,seed,N
2.16.840.1.114027.80.8.1.45,both,N
2.16.840.1.114027.80.8.1.45,cert,N
2.16.840.1.114027.80.8.1.45,expandedkey,N
2.16.840.1.114027.80.8.1.45,seed,N
2.16.840.1.114027.80.8.1.46,both,N
2.16.840.1.114027.80.8.1.46,cert,N
2.16.840.1.114027.80.8.1.46,expandedkey,N
2.16.840.1.114027.80.8.1.46,seed,N
2.16.840.1.114027.80.8.1.47,both,N
2.16.840.1.114027.80.8.1.47,cert,N
2.16.840.1.114027.80.8.1.47,expandedkey,N
2.16.840.1.114027.80.8.1.47,seed,N
2.16.840.1.114027.80.8.1.48,both,N
2.16.840.1.114027.80.8.1.48,cert,N
2.16.840.1.114027.80.8.1.48,expandedkey,N
2.16.840.1.114027.80.8.1.48,seed,N
2.16.840.1.114027.80.8.1.49,both,N
2.16.840.1.114027.80.8.1.49,cert,N
2.16.840.1.114027.80.8.1.49,expandedkey,N
2.16.840.1.114027.80.8.1.49,seed,N
2.16.840.1.114027.80.8.1.50,both,N
2.16.840.1.114027.80.8.1.50,cert,N
2.16.840.1.114027.80.8.1.50,expandedkey,N
2.16.840.1.114027.80.8.1.50,seed,N
2.16.840.1.114027.80.8.1.51,both,N
2.16.840.1.114027.80.8.1.51,cert,N
2.16.840.1.114027.80.8.1.51,expandedkey,N
2.16.840.1.114027.80.8.1.51,seed,N
2.16.840.1.114027.80.8.1.52,both,N
2.16.840.1.114027.80.8.1.52,cert,N
2.16.840.1.114027.80.8.1.52,expandedkey,N
2.16.840.1.114027.80.8.1.52,seed,N
2.16.840.1.114027.80.8.1.53,both,N
2.16.840.1.114027.80.8.1.53,cert,N
2.16.840.1.114027.80.8.1.53,expandedkey,N
2.16.840.1.114027.80.8.1.53,seed,N
