key_algorithm_oid,ta,ca,ee,csr,crl_ta,crl_ca
1.3.6.1.4.1.2.267.7.4.4,Y,Y,?,?,?,?
1.3.6.1.4.1.2.267.7.6.5,Y,Y,?,?,?,?
1.3.6.1.4.1.2.267.7.8.7,Y,Y,?,?,?,?
